"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-03","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","118.6","","","","1"
"2023-04","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","118.7","","","","1"
"2023-05","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.0","","","","1"
"2023-06","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","118.9","","","","1"
"2023-07","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.1","","","","1"
"2023-08","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.5","","","","1"
"2023-09","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.3","","","","1"
"2023-10","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.3","","","","1"
"2023-11","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","118.9","","","","1"
"2023-12","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.1","","","","1"
"2024-01","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.3","","","","1"
"2024-02","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.4","","","","1"
"2024-03","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","119.7","","","","1"
"2024-04","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","120.6","","","","1"
"2024-05","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","121.4","","","","1"
"2024-06","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.0","","","","1"
"2024-07","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.8","","","","1"
"2024-08","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.6","","","","1"
"2024-09","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.7","","","","1"
"2024-10","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.9","","","","1"
"2024-11","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","123.0","","","","1"
"2019-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","99.1","","","","1"
"2019-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","99.0","","","","1"
"2019-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","98.9","","","","1"
"2019-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","98.4","","","","1"
"2019-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","98.2","","","","1"
"2019-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.5","","","","1"
"2019-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.2","","","","1"
"2019-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.2","","","","1"
"2019-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.3","","","","1"
"2019-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.0","","","","1"
"2019-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.3","","","","1"
"2019-12","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.6","","","","1"
"2020-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.4","","","","1"
"2020-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.6","","","","1"
"2020-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.4","","","","1"
"2020-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.2","","","","1"
